value_id,product_super_attribute_id,store_id,use_default,"value"
19310,19310,1,1,""
19312,19312,1,1,""
19367,19367,1,1,""
19368,19368,1,1,""
19426,19426,1,1,""
19427,19427,1,1,""
19428,19428,1,1,""
19429,19429,1,1,""
19430,19430,1,1,""
19431,19431,1,1,""
19432,19432,1,1,""
19433,19433,1,1,""
19434,19434,1,1,""
19435,19435,1,1,""
19436,19436,1,1,""
19437,19437,1,1,""
19438,19438,1,1,""
19439,19439,1,1,""
19440,19440,1,1,""
19441,19441,1,1,""
19442,19442,1,1,""
19443,19443,1,1,""
19444,19444,1,1,""
19445,19445,1,1,""
19446,19446,1,1,""
19453,19453,1,1,""
19454,19454,1,1,""
19456,19456,1,1,""
19457,19457,1,1,""
19458,19458,1,1,""
19459,19459,1,1,""
19460,19460,1,1,""
19461,19461,1,1,""
19462,19462,1,1,""
19463,19463,1,1,""
19464,19464,1,1,""
19465,19465,1,1,""
19466,19466,1,1,""
19467,19467,1,1,""
19468,19468,1,1,""
19469,19469,1,1,""
19470,19470,1,1,""
19471,19471,1,1,""
19472,19472,1,1,""
19473,19473,1,1,""
19588,19588,1,1,""
19589,19589,1,1,""
19590,19590,1,1,""
19591,19591,1,1,""
19617,19617,1,1,""
19618,19618,1,1,""
19619,19619,1,1,""
19620,19620,1,1,""
19621,19621,1,1,""
19622,19622,1,1,""
19623,19623,1,1,""
19624,19624,1,1,""
19626,19626,1,1,""
19627,19627,1,1,""
19628,19628,1,1,""
19629,19629,1,1,""
19630,19630,1,1,""
19631,19631,1,1,""
19632,19632,1,1,""
19633,19633,1,1,""
19634,19634,1,1,""
19635,19635,1,1,""
19636,19636,1,1,""
19637,19637,1,1,""
19733,19733,1,1,""
19734,19734,1,1,""
19735,19735,1,1,""
19736,19736,1,1,""
19737,19737,1,1,""
19738,19738,1,1,""
19739,19739,1,1,""
52976,19088,0,0,"Taille de robe/jupe Ouest-européenne"
52977,19627,0,0,"Taille ISO"
52978,19157,0,0,"Taille ISO"
52979,183,0,0,"Taille ISO"
52981,19090,0,0,"Taille de robe/jupe Ouest-européenne"
52982,187,0,0,"Taille ISO"
52984,50,0,0,"Taille ISO"
52985,84,0,0,"Taille ISO"
52987,52973,0,0,"Tour de hanches à plat Français"
52988,52974,0,0,"Tour de hanches à plat Français"
52989,52975,0,0,"Tour de hanches à plat Français"
52990,19253,0,0,"Taille ISO"
52991,68,0,0,"Taille ISO"
52993,16446,0,0,"Taille ISO"
52994,95,0,0,"Taille Française haut"
52995,3965,0,0,"Taille ISO"
52996,19092,0,0,"Taille de robe/jupe Ouest-européenne"
53013,52992,1,1,""
53035,53014,1,1,""
53091,53070,1,1,""
53092,53071,1,1,""
53096,53075,1,1,""
53097,53076,1,1,""
53098,53077,1,1,""
53099,53078,1,1,""
53100,53079,1,1,""
53104,53083,1,1,""
53130,53109,1,1,""
53131,53110,1,1,""
53135,53114,1,1,""
53136,53115,1,1,""
53137,53116,1,1,""
53138,53117,1,1,""
53139,53118,1,1,""
53140,53119,1,1,""
53141,53120,1,1,""
